143,2.84,26.65,100545.11,60.00,24.81
144,3.07,26.55,100545.64,60.00,24.81
145,2.27,26.39,100536.72,61.00,26.75
146,2.13,26.40,100538.28,66.00,27.00
147,2.73,26.41,100535.03,62.00,27.44
148,2.87,26.44,100533.47,63.00,28.12
149,2.84,26.45,100529.31,66.00,28.12
150,2.13,26.42,100522.27,66.00,30.06
151,2.64,26.43,100522.90,67.00,30.25
152,2.22,26.43,100520.64,67.00,30.25
153,2.92,26.43,100522.43,63.00,30.19
154,2.16,26.44,100519.32,62.00,30.06
155,3.04,26.50,100502.64,83.00,26.44
156,3.12,26.49,100500.28,80.00,26.37
157,2.70,26.49,100499.50,76.00,26.31
158,3.12,26.51,100503.51,74.00,26.25
159,2.78,26.51,100503.46,71.00,26.25
160,2.44,26.55,100482.58,77.00,28.12
161,2.25,26.62,100487.39,86.00,28.19
162,2.75,26.61,100485.28,84.00,28.25
163,3.07,26.61,100485.00,75.00,28.25
164,2.44,26.60,100483.80,74.00,28.25
165,2.19,26.56,100469.05,77.00,30.19
166,3.12,26.57,100469.66,85.00,30.19
167,2.22,26.58,100467.49,83.00,30.25
168,2.36,26.59,100465.57,78.00,30.31
169,3.01,26.60,100462.11,76.00,30.31
170,2.98,26.38,100449.60,76.00,32.19
171,2.19,26.41,100448.29,75.00,32.13
172,2.16,26.42,100448.14,77.00,32.13
173,3.01,26.42,100448.32,71.00,32.13
174,3.04,26.42,100447.05,71.00,32.06
175,3.09,26.87,100320.50,74.00,26.37
176,2.95,26.87,100323.16,69.00,26.44
177,3.01,26.87,100317.01,74.00,26.44
178,2.95,26.88,100312.58,78.00,26.50
179,3.01,26.89,100312.64,69.00,26.50
180,2.95,27.13,100327.75,77.00,28.37
181,3.01,27.14,100325.22,63.00,28.37
182,2.39,27.15,100320.45,73.00,28.44
183,3.55,27.17,100339.47,63.00,28.50
184,2.42,27.19,100337.75,77.00,28.50
185,2.36,27.27,100316.00,66.00,30.44
186,3.52,27.28,100322.82,73.00,30.31
187,3.15,27.26,100318.94,79.00,30.37
188,2.33,27.25,100322.65,67.00,30.37
189,3.49,27.24,100320.00,61.00,30.37
190,3.46,27.13,100289.97,63.00,31.25
191,2.84,27.14,100287.52,67.00,31.25
192,2.56,27.13,100286.77,80.00,31.25
193,2.75,27.14,100287.52,73.00,31.25
194,3.12,27.13,100286.71,65.00,31.19
195,4.31,27.05,100273.39,79.00,26.69
196,3.12,27.04,100276.64,74.00,26.69
197,3.60,27.04,100277.85,72.00,26.69
198,4.25,27.04,100277.97,73.00,26.62
199,4.17,27.04,100276.38,76.00,26.62
200,4.25,27.03,100286.27,66.00,26.62
201,4.14,27.01,100282.03,79.00,26.62
202,3.09,26.97,100277.78,68.00,26.56
203,2.90,26.95,100276.24,68.00,26.62
204,4.14,26.92,100277.82,70.00,26.56
205,2.95,26.86,100275.08,80.00,27.50
206,4.14,26.86,100274.44,63.00,27.50
207,3.29,26.85,100276.88,60.00,27.56
208,4.20,26.85,100273.35,76.00,27.56
209,3.89,26.85,100280.05,66.00,27.62
210,3.04,26.84,100281.65,74.00,27.62
211,4.17,26.82,100281.91,61.00,27.69
212,4.11,26.81,100280.99,72.00,27.62
213,4.11,26.82,100283.11,81.00,27.62
214,3.72,26.81,100283.51,63.00,27.62
215,3.60,25.98,100200.25,78.00,22.50
216,3.63,25.99,100204.32,73.00,22.50
217,3.58,25.98,100202.99,72.00,22.50
218,3.80,25.98,100202.32,69.00,22.50
219,3.66,25.99,100203.05,68.00,22.50
220,3.77,26.00,100202.14,69.00,22.50
221,3.66,26.02,100202.22,74.00,22.50
222,3.69,26.04,100200.24,70.00,22.50
223,3.69,26.08,100188.14,73.00,24.37
224,3.66,26.08,100187.35,70.00,24.44
225,3.63,26.09,100190.03,74.00,24.50
226,3.69,26.09,100188.72,73.00,24.56
227,3.75,26.10,100190.22,70.00,24.62
228,3.63,26.11,100185.99,75.00,24.69
229,3.60,26.11,100185.24,72.00,24.69
230,3.55,26.14,100177.54,77.00,26.56
231,3.52,26.15,100178.39,71.00,26.56
232,3.75,26.15,100177.60,75.00,26.62
233,3.55,26.17,100178.38,69.00,26.69
234,3.75,26.18,100181.13,77.00,26.69
235,3.55,26.18,100181.52,77.00,26.75
236,3.58,26.20,100182.05,73.00,26.75
237,3.01,26.36,100166.32,71.00,28.62
238,3.58,26.40,100170.94,69.00,28.62
239,4.45,26.39,100170.53,76.00,28.62
240,4.34,26.38,100169.16,81.00,28.62
241,2.90,26.39,100170.00,76.00,28.69
242,4.31,26.39,100171.05,79.00,28.69
243,2.84,26.40,100171.10,76.00,28.62
244,2.95,26.63,100101.75,67.00,29.81
245,3.94,26.61,100104.25,80.00,29.75
246,2.75,26.60,100102.35,78.00,29.75
247,2.87,26.58,100106.42,81.00,29.69
248,3.18,26.57,100103.42,80.00,29.62
249,4.37,26.58,100104.33,75.00,29.56
250,2.75,26.57,100106.01,77.00,29.50
251,4.34,26.58,100102.78,77.00,29.44
252,4.37,26.58,100092.14,72.00,30.81
253,4.28,26.59,100092.05,85.00,30.81
254,4.28,26.59,100089.17,76.00,30.81
255,3.15,26.60,100091.85,74.00,30.81
256,2.78,26.60,100089.68,79.00,30.81
257,2.81,26.62,100088.74,80.00,30.81
258,4.25,26.65,100088.92,70.00,30.75
